champion,reigns,total_days,total_matches
Damir Dzumhur,1,7,3
Daniel Evans,1,7,5
Dominic Thiem,3,7,4
Feliciano Lopez,5,7,2
Fernando Luna,1,7,3
Fernando Verdasco,2,7,4
Francisco Gonzalez,1,7,3
Frederik Fetterlein,1,7,3
Gaston Gaudio,1,7,1
Geoff Masters,1,7,5
Hans Gildemeister,1,7,4
Harel Levy,1,7,5
Jack Sock,1,7,5
Jay Berger,1,7,5
Jerzy Janowicz,1,7,3
Jim Courier,2,7,4
Jiri Lehecka,1,7,5
Jiri Vanek,1,7,2
Jiri Vesely,1,7,3
John Andrews,1,7,1
John Isner,1,7,2
Jordi Burillo,1,7,3
Juan Antonio Marin,1,7,5
Juan Gisbert,1,7,5
Leif Shiras,1,7,2
Luca Nardi,1,7,2
Luis Horna,1,7,4
Lukasz Kubot,1,7,3
Magnus Larsson,3,7,5
Mark Cox,3,7,6
Martin Jaite,1,7,1
Mikhail Youzhny,2,7,3
Nicklas Kulti,2,7,1
Nicolas Escude,1,7,2
Nicolas Mahut,1,7,2
Paolo Bertolucci,1,7,3
Patrick Proisy,1,7,2
Paul Henri Mathieu,2,7,2
Pavel Slozil,1,7,1
Peter Mcnamara,1,7,4
Peter Wessels,1,7,4
Radek Stepanek,2,7,2
Radomir Vasek,1,7,2
Richard Gasquet,3,7,3
Ronald Agenor,1,7,4
Sandon Stolle,1,7,2
Stefano Pescosolido,1,7,1
Teymuraz Gabashvili,2,7,2
Tom Gullikson,1,7,3
Tomas Zib,1,7,1
Yen Hsun Lu,1,7,1
Alex Metreveli,1,6,2
Evgeny Korolev,1,6,4
Karl Meiler,1,6,5
Peter Szoke,1,6,2
Robert Maud,1,5,4
Brian Teacher,2,2,2
Aaron Krickstein,1,0,0
Albert Portas,2,0,0
Alexander Volkov,1,0,0
Alexander Waske,1,0,0
Alvaro Fillol,1,0,0
Andrea Gaudenzi,3,0,0
Andreas Maurer,1,0,0
Andrei Pavel,1,0,0
Andrew Ilie,1,0,0
Andrew Pattison,1,0,0
Arnaud Boetsch,1,0,0
Benjamin Becker,1,0,0
Blaine Willenborg,1,0,0
Bob Carmichael,1,0,0
Cecil Mamiit,1,0,0
Christo Van Rensburg,1,0,0
Christophe Rochus,1,0,0
Colin Dowdeswell,1,0,0
Cyril Saulnier,1,0,0
Danie Visser,1,0,0
Daniel Gimeno Traver,1,0,0
David Carter,1,0,0
David Wheaton,1,0,0
Diego Perez,1,0,0
Dmitry Tursunov,1,0,0
Fernando Vicente,1,0,0
Filippo Volandri,1,0,0
Frank Froehling,1,0,0
Fred Mcnair,1,0,0
Guillermo Perez Roldan,1,0,0
Hans Joachim Ploetz,1,0,0
Hernan Gumy,1,0,0
Igor Andreev,1,0,0
Jacco Eltingh,1,0,0
Jaime Fillol,2,0,0
Jean Loup Rouyer,2,0,0
Jeremy Chardy,1,0,0
Jiri Hrebec,1,0,0
Jonas Bjorkman,2,0,0
Jonas Svensson,3,0,0
Jordan Thompson,1,0,0
Jordi Arrese,1,0,0
Jose Luis Clerc,1,0,0
Julien Benneteau,1,0,0
Manuel Santana,1,0,0
Marcelo Filippini,1,0,0
Marcos Hocevar,1,0,0
Mark Dickson,1,0,0
Mark Edmondson,2,0,0
Mark Petchey,1,0,0
Michiel Schapers,1,0,0
Nicola Spear,1,0,0
Nikola Pilic,3,0,0
Pablo Arraya,1,0,0
Pedro Rebolledo,1,0,0
Peter Johnston,1,0,0
Phil Dent,1,0,0
Raemon Sluiter,1,0,0
Rainer Schuettler,1,0,0
Ramon Delgado,1,0,0
Ricardo Acuna,1,0,0
Ricardo Cano,1,0,0
Roberto Bautista Agut,1,0,0
Robin Haase,1,0,0
Rod Frawley,1,0,0
Sashi Menon,1,0,0
Sergiy Stakhovsky,2,0,0
Stefan Koubek,1,0,0
Szabolcz Baranyi,1,0,0
Tomas Nydahl,1,0,0
Trey Waltke,1,0,0
Vincent Spadea,2,0,0
Vincent Van Patten,1,0,0
Vladimir Zednik,1,0,0
Wally Masur,1,0,0
Willem Prinsloo,1,0,0
Xavier Malisse,1,0,0
Younes El Aynaoui,1,0,0
