date,match_date,from,to,tournament,score
19750811,1975-08-11,Ricardo Cano,Bjorn Borg,Toronto,6-2 6-3
19750811,1975-08-11,Bjorn Borg,Hans Joachim Ploetz,Toronto,6-4 2-6 6-3
19750811,1975-08-11,Hans Joachim Ploetz,Juan Gisbert,Toronto,6-2 7-5
19750811,1975-08-11,Juan Gisbert,Manuel Orantes,Toronto,6-4 6-2
19750818,1975-08-18,Manuel Orantes,John Alexander,Boston,6-3 2-6 7-6
19750827,1975-08-27,John Alexander,Andrew Pattison,US Open,6-0 7-6
19750827,1975-08-27,Andrew Pattison,Jimmy Connors,US Open,6-2 6-1 6-2
19750827,1975-08-27,Jimmy Connors,Manuel Orantes,US Open,6-4 6-3 6-3
19751005,1975-10-05,Manuel Orantes,Vladimir Zednik,Aviles,6-1 3-6 6-3
19760504,1976-05-04,Vladimir Zednik,Dick Crealy,Munich,6-3 6-4
19760504,1976-05-04,Dick Crealy,Jan Kodes,Munich,6-2 1-6 6-3
19760504,1976-05-04,Jan Kodes,Karl Meiler,Munich,5-7 6-4 6-4
19760504,1976-05-04,Karl Meiler,Manuel Orantes,Munich,6-1 6-4 6-1
19760510,1976-05-10,Manuel Orantes,Wojtek Fibak,Bournemouth,6-2 7-9 6-2 6-2
19760517,1976-05-17,Wojtek Fibak,Patrice Dominguez,Hamburg,7-6 6-2
19760524,1976-05-24,Patrice Dominguez,Fred Mcnair,Rome,7-5 6-3
19760531,1976-05-31,Fred Mcnair,Barry Phillips Moore,Roland Garros,3-6 6-4 3-6 6-0 6-3
19760531,1976-05-31,Barry Phillips Moore,Zeljko Franulovic,Roland Garros,3-6 7-6 6-2 4-6 6-4
19760615,1976-06-15,Zeljko Franulovic,Alex Metreveli,Nottingham,7-6 6-4
19760615,1976-06-15,Alex Metreveli,Roger Taylor,Nottingham,6-0 7-6
19760621,1976-06-21,Roger Taylor,Sashi Menon,Wimbledon,5-7 6-2 9-8 2-6 10-8
19760712,1976-07-12,Sashi Menon,Dick Crealy,Cincinnati,6-0 6-3
19760712,1976-07-12,Dick Crealy,Roscoe Tanner,Cincinnati,6-2 7-6
19760726,1976-07-26,Roscoe Tanner,Tim Gullikson,Washington,6-4 6-4
19760802,1976-08-02,Tim Gullikson,Harold Solomon,Louisville,6-2 6-4
19760809,1976-08-09,Harold Solomon,Jimmy Connors,Indianapolis,6-2 7-5
19760823,1976-08-23,Jimmy Connors,Raul Ramirez,Boston,6-3 3-6 6-3
19760901,1976-09-01,Raul Ramirez,Colin Dowdeswell,US Open,6-4 6-4
19760901,1976-09-01,Colin Dowdeswell,Eddie Dibbs,US Open,6-2 6-4 6-2
19760901,1976-09-01,Eddie Dibbs,Guillermo Vilas,US Open,6-1 2-6 7-6 7-6
19760901,1976-09-01,Guillermo Vilas,Jimmy Connors,US Open,6-4 6-2 6-1
19760920,1976-09-20,Jimmy Connors,Brian Gottfried,Los Angeles,6-6 RET
19760927,1976-09-27,Brian Gottfried,Roscoe Tanner,San Francisco,4-6 7-5 6-1
19761004,1976-10-04,Roscoe Tanner,Bob Lutz,Maui,7-6 6-1
19761004,1976-10-04,Bob Lutz,Harold Solomon,Maui,6-3 5-7 7-5
19761018,1976-10-18,Harold Solomon,Eddie Dibbs,Barcelona,6-3 6-4 5-7 6-4
19761018,1976-10-18,Eddie Dibbs,Manuel Orantes,Barcelona,6-1 2-6 2-6 7-5 6-4
19761101,1976-11-01,Manuel Orantes,Raul Ramirez,London,6-3 6-4
19761107,1976-11-07,Raul Ramirez,Jimmy Connors,Stockholm,7-6 6-1
19761107,1976-11-07,Jimmy Connors,Mark Cox,Stockholm,7-6 3-6 7-6
19761115,1976-11-15,Mark Cox,Brian Gottfried,Wembley,1-6 6-1 6-4
19761115,1976-11-15,Brian Gottfried,Jimmy Connors,Wembley,6-3 5-7 6-2
19770124,1977-01-24,Jimmy Connors,Dick Stockton,Philadelphia WCT,3-6 6-4 3-6 6-1 6-2
19770131,1977-01-31,Dick Stockton,Corrado Barazzutti,Richmond WCT,6-4 6-2
19770131,1977-01-31,Corrado Barazzutti,Vitas Gerulaitis,Richmond WCT,6-3 3-6 7-5
19770207,1977-02-07,Vitas Gerulaitis,Wojtek Fibak,Mexico City WCT,6-7(3) 6-1 7-6(1)
19770216,1977-02-16,Wojtek Fibak,Rod Laver,Toronto Indoor WCT,6-0 6-2
19770221,1977-02-21,Rod Laver,Brian Gottfried,Palm Springs,4-6 6-2 6-2
19770228,1977-02-28,Brian Gottfried,Bjorn Borg,Memphis,6-4 6-3 4-6 7-5
19770314,1977-03-14,Bjorn Borg,Jeff Borowiak,Washington Indoor,6-1 6-2
19770314,1977-03-14,Jeff Borowiak,Tom Gorman,Washington Indoor,6-4 6-4
19770321,1977-03-21,Tom Gorman,Bjorn Borg,La Costa,7-6 7-5
19770321,1977-03-21,Bjorn Borg,Brian Gottfried,La Costa,6-1 6-1
19770328,1977-03-28,Brian Gottfried,Stan Smith,Los Angeles PSW,6-4 2-6 6-3
19770418,1977-04-18,Stan Smith,Peter Fleming,Denver,6-4 7-5
19770516,1977-05-16,Peter Fleming,Lito Alvarez,Rome,1-6 6-3 6-4
19770523,1977-05-23,Lito Alvarez,Ilie Nastase,Roland Garros,7-6 6-3 6-2
19770613,1977-06-13,Ilie Nastase,Hank Pfister,Queen's Club,6-2 6-3
19770613,1977-06-13,Hank Pfister,Mark Cox,Queen's Club,9-8 1-6 6-4
19770613,1977-06-13,Mark Cox,Raul Ramirez,Queen's Club,9-7 7-5
19770620,1977-06-20,Raul Ramirez,Tim Gullikson,Wimbledon,6-3 6-4 3-6 8-9 6-4
19770711,1977-07-11,Tim Gullikson,Rick Fagel,Cincinnati,6-2 6-3
19770731,1977-07-31,Rick Fagel,John Alexander,North Conway,1-6 6-4 6-3
19770816,1977-08-16,John Alexander,Jeff Borowiak,Toronto,6-4 3-6 7-6
19770831,1977-08-31,Jeff Borowiak,Willem Prinsloo,US Open,3-6 7-6 6-1
19770919,1977-09-19,Willem Prinsloo,Alvaro Fillol,Paris,7-5 6-2
19770919,1977-09-19,Alvaro Fillol,Paolo Bertolucci,Paris,4-6 6-2 6-4
19770919,1977-09-19,Paolo Bertolucci,Patrick Proisy,Paris,6-4 5-7 8-7 RET
19770926,1977-09-26,Patrick Proisy,Hans Gildemeister,Aix en Provence,3-6 6-3 8-6
19771003,1977-10-03,Hans Gildemeister,Wojtek Fibak,Tehran,2-6 6-3 6-2
19771010,1977-10-10,Wojtek Fibak,Eddie Dibbs,Madrid,6-3 4-6 6-4
19771017,1977-10-17,Eddie Dibbs,Bjorn Borg,Barcelona,6-0 6-0 6-4
19771121,1977-11-21,Bjorn Borg,Sherwood Stewart,Oviedo,6-1 7-6
19771128,1977-11-28,Sherwood Stewart,Frew Mcmillan,Johannesburg WCT,6-2 6-4
19780109,1978-01-09,Frew Mcmillan,Vitas Gerulaitis,Birmingham WCT,6-4 6-2
19780120,1978-01-20,Vitas Gerulaitis,Jimmy Connors,Pepsi Grand Slam,6-2 6-4
19780320,1978-03-20,Jimmy Connors,Jeff Borowiak,Las Vegas,6-3 6-0
19780417,1978-04-17,Jeff Borowiak,Brian Gottfried,Houston WCT,7-6 6-2
